Purchase Order Number,Purchase Order Reference,Purchasing Group,Supplier's Name,Supplier's Vendor Code,Contact Person,Delivery To Name,Delivery Location Code,Line Item No.,Product Code,Item Barcode,Order Quantity,UOM,UOM (Pack Size),UOM (Inner),Unit Price,Discount,Line Item Total,Item Descriptions,Expected Delivery Date,Line Total DC Alw/X Dock,Line Total DMG Allowance,Line Total PAY Allowance,Line VAT Total,Grand Total,PO Order Date
3011722749,,2802 Samarinda Cen,PT. PULAU BARU MANDIRI,3000005421,,Farmers Market Samarinda Centr,2802,00010,30304095,8886467100062,"2,00",KAR,12,,232.080,0,464.160,PRINGLES SALT&SEAWEED 102GR NEW,20240928,0,0,0,51.058,6.014.674,20240926
3011722749,,2802 Samarinda Cen,PT. PULAU BARU MANDIRI,3000005421,,Farmers Market Samarinda Centr,2802,00020,30304096,8886467100024,"6,00",KAR,12,,232.080,0,1.392.480,PRINGLES SOUR CREAM&ONION 102GR NEW,20240928,0,0,0,153.173,6.014.674,20240926
3011722749,,2802 Samarinda Cen,PT. PULAU BARU MANDIRI,3000005421,,Farmers Market Samarinda Centr,2802,00030,30012977,8991001780492,"1,00",KAR,24,,270.000,0,270.000,SELAMAT WAFER 145 GR PAK,20240928,0,0,0,29.700,6.014.674,20240926
3011722749,,2802 Samarinda Cen,PT. PULAU BARU MANDIRI,3000005421,,Farmers Market Samarinda Centr,2802,00040,30227086,8991001111777,"1,00",KAR,24,,459.696,0,459.696,SILVER QUEEN CHUNKY ALMOND BAR 95GR PCS,20240928,0,0,0,50.567,6.014.674,20240926
3011722749,,2802 Samarinda Cen,PT. PULAU BARU MANDIRI,3000005421,,Farmers Market Samarinda Centr,2802,00050,30238319,8991001111869,"1,00",KAR,24,,484.752,0,484.752,SILVER QUEEN CHUNKY BAR ORANGE PEEL 95G,20240928,0,0,0,53.323,6.014.674,20240926
3011722749,,2802 Samarinda Cen,PT. PULAU BARU MANDIRI,3000005421,,Farmers Market Samarinda Centr,2802,00060,30215997,8991001111715,"1,00",KAR,24,,484.752,0,484.752,SILVER QUEEN CHUNKY DARK BAR 95GR,20240928,0,0,0,53.323,6.014.674,20240926
3011722749,,2802 Samarinda Cen,PT. PULAU BARU MANDIRI,3000005421,,Farmers Market Samarinda Centr,2802,00070,30012991,8991001121370,"1,00",KAR,10,,256.700,0,256.700,SILVER QUEEN DARK CHOCOLATE 58GR PCS,20240928,0,0,0,28.237,6.014.674,20240926
3011722749,,2802 Samarinda Cen,PT. PULAU BARU MANDIRI,3000005421,,Farmers Market Samarinda Centr,2802,00080,30204052,8991001111289,"1,00",KAR,60,,417.420,0,417.420,SILVER QUEEN MILK NUT 25GR PCS,20240928,0,0,0,45.916,6.014.674,20240926
3011722749,,2802 Samarinda Cen,PT. PULAU BARU MANDIRI,3000005421,,Farmers Market Samarinda Centr,2802,00090,30243856,8991001111913,"1,00",KAR,24,,253.176,0,253.176,SILVERQUEEN MONTES 50GR,20240928,0,0,0,27.849,6.014.674,20240926
3011722749,,2802 Samarinda Cen,PT. PULAU BARU MANDIRI,3000005421,,Farmers Market Samarinda Centr,2802,00100,30243854,8991001111937,"2,00",KAR,24,,90.744,0,181.488,SILVERQUEEN ROCK'R MILK 22GR,20240928,0,0,0,19.964,6.014.674,20240926
3011722749,,2802 Samarinda Cen,PT. PULAU BARU MANDIRI,3000005421,,Farmers Market Samarinda Centr,2802,00130,30341967,8991001243157,"2,00",ZC1,10,,127.890,0,255.780,VAN HOUTEN DARK 52%COCOA ALMOND 40GR,20240928,0,0,0,28.136,6.014.674,20240926
3011722749,,2802 Samarinda Cen,PT. PULAU BARU MANDIRI,3000005421,,Farmers Market Samarinda Centr,2802,00150,30351685,8991001503718,"2,00",KAR,10,,143.350,0,286.700,VAN HOUTEN DARK MILK ASSORT DRAGEES 40G,20240928,0,0,0,31.537,6.014.674,20240926
3011722749,,2802 Samarinda Cen,PT. PULAU BARU MANDIRI,3000005421,,Farmers Market Samarinda Centr,2802,00160,30353587,8991001122322,"1,00",KAR,10,,211.520,0,211.520,VAN HOUTEN VEGAN ALMOND&BERRIES 45GR,20240928,0,0,0,23.267,6.014.674,20240926
