9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61820162,GREENFIELDS SKIMMED MILK 950ML *,12,6,2
9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61829234,GREENFIELDS CHOCO MILK 200ml,12,12,1
9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61830124,GREENFIELDS FM STR 200ml,12,12,1
9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61831178,GREENFIELDS LOWFAT MILK 1.89 ltr,6,6,1
9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61833345,GREENFIELDS YOGURT STRAWBERRY 125g,12,12,1
9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61833354,GREENFIELDS YOGURT MANGO 125g,12,12,1
9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61833363,GREENFIELDS YOGURT BLUEBERRY 125g,12,12,1
9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61833372,GREENFIELDS YOGURT ORIGINAL  500g,3,3,1
9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61833407,GREENFIELDS YOGURT BLUEBERRY 500g,3,3,1
9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61834479,GREENFIELDS YOGURT STR 4X125g,3,3,1
9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61834746,GREENFIELDS DY STRAWB 250ML/240ML,12,12,1
9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61834773,GREENFIELDS DY MANGO 250ML/240ML,12,12,1
9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61834782,GREENFIELDS DY LYCHEE 250ML/240ML,12,12,1
9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61834791,GREENFIELDS DY BLUEBERRY 250ML/240ML,12,12,1
9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61835745,GREENFIELDS YOGURT STIRRED NO SUGAR 500G,6,3,2
9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61836360,GREENFIELDS YOGURT POUCH ORIGINAL 110GR,36,6,6
9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61836388,GREENFIELDS YOGURT POUCH BLUEBERRY 110GR,12,6,2
9006776,336,HYMR,2024-09-30,2024-10-06,2024-09-30,61836600,GREENFIELDS DY ORIGINAL 250ML/240Ml,12,12,1
